gene,symbol,p.value,adj.p
ENSG00000174640,SLCO2A1,3.083E-09,5.06321E-05
ENSG00000169432,SCN9A,2.343E-08,0.000173427
ENSG00000165092,ALDH1A1,3.168E-08,0.000173427
ENSG00000188848,BEND4,5.165E-08,0.000212062
ENSG00000197121,PGAP1,2.321E-07,0.000762356
ENSG00000145022,TCTA,2.895E-07,0.000772702
ENSG00000168913,ENHO,4.009E-07,0.000772702
ENSG00000198771,RCSD1,4.493E-07,0.000772702
ENSG00000125967,NECAB3,5.814E-07,0.000772702
ENSG00000101412,E2F1,6.563E-07,0.000772702
ENSG00000253304,TMEM200B,7.116E-07,0.000772702
ENSG00000172987,HPSE2,7.128E-07,0.000772702
ENSG00000169836,TACR3,7.359E-07,0.000772702
ENSG00000168453,HR,7.367E-07,0.000772702
ENSG00000116191,RALGPS2,7.752E-07,0.000772702
ENSG00000135299,ANKRD6,7.994E-07,0.000772702
ENSG00000185477,GPRIN3,8.299E-07,0.000772702
ENSG00000090581,GNPTG,8.469E-07,0.000772702
ENSG00000128606,LRRC17,0.000001559,0.00134755
ENSG00000151718,WWC2,0.00000174,0.001428801
ENSG00000080298,RFX3,0.000002322,0.001815915
ENSG00000112964,GHR,0.000002468,0.001842362
ENSG00000114529,C3orf52,0.000002771,0.001978614
ENSG00000196998,WDR45,0.000003217,0.002124479
ENSG00000157911,PEX10,0.000003234,0.002124479
ENSG00000127328,RAB3IP,0.000003487,0.002202577
ENSG00000197360,ZNF98,0.000003777,0.002297395
ENSG00000023445,BIRC3,0.000004201,0.002464037
ENSG00000111913,FAM65B,0.000004485,0.002539902
ENSG00000141433,ADCYAP1,0.000005114,0.00263988
ENSG00000131477,RAMP2,0.000005296,0.00263988
ENSG00000196233,LCOR,0.00000541,0.00263988
ENSG00000105419,MEIS3,0.000005466,0.00263988
ENSG00000134198,TSPAN2,0.000005544,0.00263988
ENSG00000214944,ARHGEF28,0.000005626,0.00263988
ENSG00000166603,MC4R,0.000005872,0.002678774
ENSG00000215897,ZBTB8B,0.000006238,0.002758632
ENSG00000260800,.,0.000006383,0.002758632
ENSG00000080573,COL5A3,0.00000841,0.003541473
ENSG00000058063,ATP11B,0.00000881,0.003617166
ENSG00000148660,CAMK2G,0.000009599,0.003844985
ENSG00000100592,DAAM1,0.0000105,0.00410575
ENSG00000135447,PPP1R1A,0.00001127,0.00426998
ENSG00000167244,IGF2,0.00001149,0.00426998
ENSG00000125843,AP5S1,0.0000117,0.00426998
ENSG00000069667,RORA,0.00001214,0.004334244
ENSG00000104327,CALB1,0.00001256,0.004388785
